STATISTIČNA REGIJA,STAROST,SPOL,LETO,PLAČA,MERITVE,DATA
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1809
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1948
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2048
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1337
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1384
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1441
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1484
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1490
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1490
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1519
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1527
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1560
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1598
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1654
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1728
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1811
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1940
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2061
